ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
0.75,-0.3594,1.2031,-20.5078,-5.8594,3.9062,1.4626,21.6832
0.6875,-0.3281,1.0,-26.3672,2.9297,7.8125,1.2571,27.6559
0.5781,-0.3438,1.0312,-41.9922,23.4375,17.5781,1.2312,51.2021
0.5781,-0.0469,1.0469,-63.4766,29.2969,38.0859,1.1968,79.6123
0.4688,0.0781,0.7969,-110.3516,30.2734,43.9453,0.9278,122.5771
0.3594,-0.3281,0.4219,-125.0,21.4844,41.0156,0.644,133.2999
0.1094,-0.75,0.2812,-125.0,38.0859,15.625,0.8084,131.6043
0.0156,-0.7031,-0.25,-103.5156,-3.9062,-2.9297,0.7464,103.6307
-0.5938,-0.1094,-0.5,16.6016,-79.1016,-9.7656,0.7839,81.4128
-0.3594,-0.5625,-0.1562,37.1094,-13.6719,-2.9297,0.6855,39.6561
0.0312,-0.6719,-0.125,6.8359,11.7188,1.9531,0.6841,13.7067
0.5,-0.9688,-0.125,12.6953,-1.9531,0.9766,1.0973,12.8817
0.625,-1.8906,-0.1562,10.7422,0.9766,0.0,1.9974,10.7865
0.2031,-1.625,-0.0781,2.9297,25.3906,-2.9297,1.6395,25.7264
0.2188,-1.125,0.1719,-15.625,32.2266,-14.6484,1.1589,38.6946
0.3438,-0.7812,0.3438,-24.4141,31.25,-9.7656,0.9202,40.8409
0.2656,-0.6562,0.3438,-28.3203,24.4141,-4.8828,0.787,37.7085
0.0938,-0.9219,0.4219,-39.0625,23.4375,0.0,1.0181,45.5543
0.2031,-1.0469,0.3906,-46.875,24.4141,0.9766,1.1357,52.8608
0.3594,-1.0156,0.2969,-42.9688,22.4609,0.9766,1.1175,48.495
0.4062,-1.0156,0.0938,-25.3906,16.6016,1.9531,1.0979,30.3992
0.3438,-0.9688,-0.0938,-13.6719,-0.9766,0.0,1.0322,13.7067
0.2969,-0.7656,-0.2344,-6.8359,-20.5078,-2.9297,0.854,21.8148
0.2656,-0.5625,-0.25,0.9766,-19.5312,0.0,0.6704,19.5556
0.3594,-0.5625,-0.1406,-5.8594,-8.7891,5.8594,0.6822,12.0794
0.3281,-0.7656,-0.1562,-8.7891,-9.7656,9.7656,0.8475,16.3702
0.3281,-0.875,-0.2031,-0.9766,-6.8359,9.7656,0.9563,11.9604
0.3594,-0.7969,-0.2188,14.6484,1.9531,4.8828,0.9011,15.5638
0.2969,-0.6094,-0.1562,23.4375,2.9297,0.0,0.6956,23.6199
0.2344,-0.5156,-0.0938,18.5547,0.0,-0.9766,0.5741,18.5804
0.2344,-0.7031,-0.0469,11.7188,0.0,0.0,0.7426,11.7188
0.2344,-1.0,-0.0469,1.9531,5.8594,3.9062,1.0282,7.3079
0.2656,-1.0156,-0.0469,5.8594,11.7188,0.9766,1.0508,13.1383
0.0,-1.1875,0.2031,22.4609,4.8828,4.8828,1.2047,23.4985
-0.0625,-1.4219,0.25,50.7812,0.9766,0.0,1.445,50.7906
0.1406,-0.9375,0.2344,50.7812,-5.8594,-12.6953,0.9765,52.671
0.3438,-0.6875,0.125,39.0625,-9.7656,-11.7188,0.7787,41.9354
0.2656,-0.9844,0.1719,36.1328,-13.6719,-9.7656,1.034,39.8481
0.3281,-1.0469,0.3125,57.6172,-11.7188,-4.8828,1.1407,58.9992
0.2031,-0.7812,0.4844,74.2188,-15.625,-3.9062,0.9414,75.9462
0.3125,-0.7031,0.625,83.0078,-11.7188,-6.8359,0.9913,84.1092
0.4062,-0.4531,0.9688,59.5703,-6.8359,-2.9297,1.144,60.0328
0.2969,-0.5938,0.8281,15.625,-9.7656,-1.9531,1.0614,18.529
0.3438,-0.5,0.5312,6.8359,-5.8594,-1.9531,0.8065,9.2129
0.3125,-0.5,0.5,12.6953,-0.9766,-2.9297,0.7731,13.0655
0.2969,-0.4688,0.5938,17.5781,1.9531,-2.9297,0.8127,17.9273
0.3281,-0.4844,0.7031,18.5547,0.9766,-2.9297,0.9147,18.8099
0.4062,-0.4844,0.7031,16.6016,0.0,-3.9062,0.9455,17.0549
0.4062,-0.4688,0.7031,14.6484,3.9062,-2.9297,0.9376,15.4408
0.3906,-0.4844,0.8438,14.6484,5.8594,-1.9531,1.0484,15.8973
0.3906,-0.3906,0.8125,14.6484,5.8594,0.0,0.9825,15.7769
0.375,-0.4219,0.8594,14.6484,3.9062,0.0,1.0282,15.1603
0.3438,-0.3125,1.0469,12.6953,2.9297,0.0,1.1453,13.029
0.3438,-0.4219,0.9844,11.7188,2.9297,0.0,1.1248,12.0794
0.3281,-0.4062,1.0469,9.7656,2.9297,0.9766,1.1699,10.2423
